CardNum,CardName,ImgURL,Type,CardClass,Color,Level,GrowCost,Cost,Limit,Power,Restriction,Team,Timing,Guard,Coin,Story,LifeBurst,EffectText,BurstText
WD01-001,満月の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-001.jpg,ルリグ,タマ,白,4,《白》×３,-,11,-,-,-,-,0,-,-,0,【常】：あなたの場に《甲冑　ローメイル》があるかぎり、あなたのシグニのパワーを＋2000する,-
WD01-002,弦月の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-002.jpg,ルリグ,タマ,白,3,《白》×２,-,8,-,-,-,-,0,-,-,0,-,-
WD01-003,半月の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-003.jpg,ルリグ,タマ,白,2,《白》×１,-,5,-,-,-,-,0,-,-,0,-,-
WD01-004,三日月の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-004.jpg,ルリグ,タマ,白,1,《白》×０,-,2,-,-,-,-,0,-,-,0,-,-
WD01-005,新月の巫女　タマヨリヒメ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-005.jpg,ルリグ,タマ,白,0,《白》×０,-,0,-,-,-,-,0,-,-,0,-,-
WD01-006,ロココ・バウンダリー,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-006.jpg,アーツ,-,白,-,-,《白》×３《無》×２,-,-,タマ限定,-,メインフェイズ,0,-,-,0,対戦相手のシグニを２体まで対象とし、それらを手札に戻す。,-
WD01-007,エイボン,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-007.jpg,アーツ,-,白,-,-,《白》×３,-,-,-,-,メインフェイズ,0,-,-,0,あなたのデッキから白のシグニを２枚まで探して公開し手札に加え、デッキをシャッフルする。,-
WD01-008,バロック・ディフェンス,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-008.jpg,アーツ,-,白,-,-,《白》×２,-,-,-,-,アタックフェイズ,0,-,-,0,対戦相手のセンタールリグかシグニ１体を対象とし、ターン終了時まで、それは「【常】：アタックできない。」を得る。,-
WD01-009,甲冑　ローメイル,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-009.jpg,シグニ,精武：アーム,白,4,-,-,-,12000,タマ限定,-,-,0,-,-,1,【常】：対戦相手のターンの間、あなたのシグニのパワーを＋1000する。,：対戦相手のシグニ１体を対象とし、それを手札に戻す。
WD01-010,大剣　カリバン,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-010.jpg,シグニ,精武：アーム,白,3,-,-,-,10000,-,-,-,0,-,-,0,-,-
WD01-011,篭手　トレット,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-011.jpg,シグニ,精武：アーム,白,3,-,-,-,7000,タマ限定,-,-,0,-,-,1,【出】《白》：あなたのデッキから《甲冑　ローメイル》１枚を探して公開し手札に加え、デッキをシャッフルする。,：カードを１枚引く。
WD01-012,中剣　フランベル,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-012.jpg,シグニ,精武：アーム,白,2,-,-,-,7000,-,-,-,0,-,-,0,-,-
WD01-013,小剣　ククリ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-013.jpg,シグニ,精武：アーム,白,1,-,-,-,3000,-,-,-,0,-,-,0,-,-
WD01-014,小弓　ボーニャ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-014.jpg,シグニ,精武：アーム,白,1,-,-,-,1000,タマ限定,-,-,0,-,-,0,【出】：あなたのデッキの上からカードを３枚見て、それらを好きな順番でデッキの一番上に戻す。,-
WD01-015,ゲット・バイブル,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-015.jpg,スペル,-,白,-,-,《白》×１,-,-,-,-,-,0,-,-,0,あなたのデッキからシグニを１枚まで探して公開し手札に加え、デッキをシャッフルする。,-
WD01-016,サーバント　Ｄ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-016.jpg,シグニ,精元,無,2,-,-,-,5000,-,-,-,1,-,-,1,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,：【エナチャージ１】
WD01-017,サーバント　Ｏ,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-017.jpg,シグニ,精元,無,1,-,-,-,2000,-,-,-,1,-,-,1,【ガード】（このカードを手札から捨てることで、ルリグのアタックによるダメージを一度防ぐ）【常】：【マルチエナ】（エナコストを支払う際、このカードは好きな色１つとして支払える）,：【エナチャージ１】
WD01-018,噴流する知識,https://www.takaratomy.co.jp/products/wixoss/img/card/WD01/WD01-018.jpg,スペル,-,無,-,-,《無》×０,-,-,-,-,-,0,-,-,1,カードを１枚引く。,：【エナチャージ１】
WD02-001,花代・肆,https://www.takaratomy.co.jp/products/wixoss/img/card/WD02/WD02-001.jpg,ルリグ,花代,赤,4,《赤》×３,-,11,-,-,-,-,0,-,-,0,【常】：あなたのターンの間、あなたの場に《羅石　ヴォルカノ》があるかぎり、あなたのシグニのパワーを＋2000する。,-
