CardNum,CardName,ImgURL,Type,CardClass,Color,Level,GrowCost,Cost,Limit,Power,Restriction,Team,Timing,Guard,Coin,Story,LifeBurst,EffectText,BurstText
WXK01-TK-01A,棘々迷路,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK01/WXK01-TK-01A.jpg,アーツ/クラフト,-,緑,-,-,《緑》×０,-,-,-,-,アタックフェイズ,0,-,-,0,シグニ１体を対象とし、ターン終了時まで、それのパワーを＋2000する。（このカードがルリグデッキとチェックゾーン以外に置かれる場合、代わりにゲームから除外される）,-
WXK03-TK-01B,落華流粋,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK03/WXK03-TK-01B.jpg,アーツ/クラフト,-,赤緑,-,-,《赤》×１《緑》×１《無》×１,-,-,-,-,メインフェイズアタックフェイズ,0,-,-,0,以下の４つから１つを選ぶ。あなたのセンタールリグが＜リル＞か＜メル＞の場合、代わりに２つまで選ぶ。①対戦相手のパワー12000以下のシグニ１体を対象とし、それをバニッシュする。②対戦相手のパワー12000以上のシグニ１体を対象とし、それをバニッシュする。③あなたのシグニ１体を対象とし、ターン終了時まで、それは【ダブルクラッシュ】を得る。そのシグニがレベル４以上の場合、追加でそれは【アサシン】を得る。④あなたのデッキの一番上のカードをライフクロスに加える。手札を２枚捨てる。,-
WXK09-TK-01A,改造素材,https://www.takaratomy.co.jp/products/wixoss/img/card/WXK09/WXK09-TK-01A.jpg,アーツ/クラフト,-,緑,-,-,《緑》×０,-,-,-,-,メインフェイズ,0,-,-,0,このターン、あなたは《改造素材》を使用できない。以下の３つから１つを選ぶ。①あなたの＜電機＞のシグニ１体を対象とし、ターン終了時まで、それのパワーを＋4000する。②あなたの＜電機＞のシグニ１体を対象とし、《緑》を支払ってもよい。そうした場合、ターン終了時まで、それは「【起】《ダウン》：このシグニよりパワーの低い対戦相手のシグニ１体を対象とし、それをバニッシュする。」を得る。③あなたの＜電機＞のシグニ１体を対象とし、《緑》《緑》を支払ってもよい。そうした場合、ターン終了時まで、それは「【自】《ターン１回》：このシグニがアタックしたとき、このシグニをアップする。」を得る。,-
WXDi-P07-TK01-A,サーバント　ZERO,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P07-TK01-A.jpg,シグニ,精元,無,1,-,-,-,1000,-,-,-,0,-,-,0,-,-
WXDi-P11-TK01,白羅星姫　サタン,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P11-TK01.jpg,シグニ/レゾナクラフト,奏羅：宇宙,白,3,-,-,-,12000,-,-,-,0,-,-,0,【出現条件】《メインフェイズアイコン》手札とエナゾーンからシグニを合計２枚トラッシュに置く【常】：あなたのターンの間、対戦相手はシグニを２体までしか場に出すことができない。（すでに場に３体以上ある場合は２体になるようにシグニをトラッシュに置く）（レゾナでありクラフトであるシグニはリムーブできず場を離れるとゲームから除外される）,-
WXDi-P11-TK02,白羅星姫　フルムーン,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P11-TK02.jpg,シグニ/レゾナクラフト,奏羅：宇宙,白,3,-,-,-,12000,-,-,-,0,-,-,0,【出現条件】《メインフェイズアイコン》手札とエナゾーンからシグニを合計３枚トラッシュに置く【常】：対戦相手のターンの間、あなたの他のシグニは【シャドウ（シグニ）】を得る。（それらのシグニは対戦相手のシグニによって対象にされない）【出】：次の対戦相手のターンの間、対戦相手はシグニアタックステップにシグニで合計一度しかアタックできない。,-
WXDi-P11-TK03,緑参ノ遊姫　メリゴラン,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P11-TK03.jpg,シグニ/レゾナクラフト,奏武：遊具,緑,3,-,-,-,12000,-,-,-,0,-,-,0,【出現条件】《メインフェイズアイコン》手札とエナゾーンからシグニを合計２枚トラッシュに置く【自】：このシグニがアタックしたとき、あなたのエナゾーンからカードを１枚まで対象とし、それを手札に加える。【自】：このシグニが場を離れたとき、あなたのエナゾーンからカードを１枚まで対象とし、それを手札に加える。【出】：【エナチャージ２】,-
WXDi-P11-TK04,緑参ノ遊姫　アスレ【ＨＡＲＤ】,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P11-TK04.jpg,シグニ/レゾナクラフト,奏武：遊具,緑,3,-,-,-,12000,-,-,-,0,-,-,0,【出現条件】《メインフェイズアイコン》手札とエナゾーンからシグニを合計３枚トラッシュに置く【自】《ターン１回》：あなたのシグニがバトルによって対戦相手のシグニ１体をバニッシュしたとき、【エナチャージ１】をする。【自】：このシグニがバトルによって対戦相手のシグニ１体をバニッシュしたとき、このシグニをアップする。（レゾナでありクラフトであるシグニはリムーブできず場を離れるとゲームから除外される）,-
WXDi-P11-TK05,黒大幻蟲　アラクネ・パイダ,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P11-TK05.jpg,シグニ/レゾナクラフト,奏生：凶蟲,黒,3,-,-,-,12000,-,-,-,0,-,-,0,【出現条件】《メインフェイズアイコン》手札とエナゾーンからシグニを合計２枚トラッシュに置く【自】：各アタックフェイズ開始時、ターン終了時まで、【チャーム】が付いている対戦相手のすべてのシグニは能力を失う。【自】：【チャーム】が付いている対戦相手のシグニ１体がバニッシュされたとき、カードを１枚引く。【起】《ターン１回》《黒×0》：対戦相手のシグニ１体を対象とし、対戦相手のトラッシュからカード１枚をそれの【チャーム】にする。,-
WXDi-P11-TK06,黒大幻蟲　オウグソク【ＦＡ】,https://www.takaratomy.co.jp/products/wixoss/img/card/WXDi/WXDi-P11-TK06.jpg,シグニ/レゾナクラフト,奏生：凶蟲,黒,3,-,-,-,12000,-,-,-,0,-,-,0,【出現条件】《メインフェイズアイコン》手札とエナゾーンからシグニを合計３枚トラッシュに置く【自】：このシグニが場を離れたとき、あなたのトラッシュから黒のシグニ１枚を対象とし、それを手札に加える。【出】：ターン終了時まで、【チャーム】が付いている対戦相手のすべてのシグニのパワーを－10000する。（レゾナでありクラフトであるシグニはリムーブできず場を離れるとゲームから除外される）,-
